iter	Passed	Remaining
0	159	159640
1	161	80614
2	164	54587
3	165	41233
4	168	33457
5	170	28218
6	172	24401
7	178	22080
8	181	20024
9	184	18220
10	185	16655
11	186	15359
12	187	14267
13	188	13309
14	189	12470
15	190	11746
16	192	11105
17	193	10543
18	194	10067
19	195	9593
20	197	9217
21	198	8846
22	200	8515
23	202	8236
24	206	8059
25	207	7784
26	209	7542
27	210	7291
28	211	7066
29	211	6846
30	212	6645
31	213	6452
32	214	6276
33	214	6108
34	215	5947
35	217	5821
36	218	5675
37	218	5535
38	219	5404
39	220	5285
40	221	5170
41	221	5058
42	222	4956
43	223	4853
44	225	4784
45	226	4694
46	226	4601
47	229	4552
48	230	4469
49	230	4385
50	231	4306
51	232	4232
52	232	4160
53	233	4094
54	234	4029
55	235	3964
56	235	3902
57	236	3840
58	237	3780
59	237	3721
60	238	3665
61	238	3611
62	239	3562
63	240	3515
64	240	3466
65	241	3419
66	242	3374
67	242	3326
68	243	3281
69	243	3238
70	244	3195
71	244	3155
72	245	3116
73	245	3077
74	246	3040
75	247	3005
76	247	2969
77	248	2934
78	248	2900
79	249	2867
80	249	2835
81	250	2807
82	252	2786
83	252	2756
84	253	2727
85	253	2698
86	254	2668
87	254	2640
88	255	2613
89	256	2588
90	256	2563
91	257	2539
92	257	2514
93	258	2491
94	259	2468
95	259	2445
96	260	2422
97	260	2401
98	261	2379
99	262	2358
100	262	2338
101	263	2316
102	263	2299
103	264	2283
104	265	2263
105	266	2244
106	266	2225
107	267	2206
108	267	2188
109	268	2170
110	268	2153
111	269	2136
112	270	2119
113	270	2103
114	271	2086
115	271	2069
116	272	2053
117	272	2038
118	273	2024
119	273	2009
120	274	1994
121	275	1981
122	275	1967
123	276	1953
124	277	1940
125	277	1927
126	278	1913
127	278	1899
128	279	1887
129	280	1875
130	280	1862
131	282	1854
132	282	1843
133	283	1831
134	284	1819
135	284	1809
136	285	1798
137	286	1786
138	286	1776
139	288	1769
140	288	1759
141	289	1748
142	290	1738
143	290	1728
144	291	1718
145	292	1708
146	292	1698
147	293	1688
148	293	1678
149	294	1669
150	295	1659
151	295	1649
152	296	1640
153	296	1630
154	297	1621
155	297	1612
156	298	1603
157	300	1602
158	301	1593
159	301	1584
160	302	1576
161	303	1568
162	303	1560
163	304	1552
164	305	1544
165	305	1536
166	306	1528
167	307	1521
168	307	1513
169	308	1505
170	309	1498
171	309	1490
172	310	1482
173	310	1475
174	311	1470
175	312	1465
176	313	1457
177	314	1450
178	314	1443
179	315	1436
180	315	1428
181	316	1421
182	316	1414
183	317	1407
184	317	1399
185	318	1393
186	318	1386
187	319	1380
188	320	1374
189	320	1367
190	321	1361
191	321	1354
192	322	1348
193	323	1343
194	325	1342
195	325	1336
196	326	1330
197	327	1324
198	327	1318
199	328	1313
200	329	1309
201	329	1303
202	330	1297
203	331	1292
204	331	1287
205	332	1281
206	333	1276
207	333	1271
208	334	1265
209	335	1260
210	335	1256
211	336	1251
212	337	1246
213	337	1240
214	338	1237
215	339	1232
216	340	1227
217	340	1221
218	341	1216
219	341	1211
220	342	1206
221	342	1201
222	343	1196
223	344	1191
224	344	1186
225	345	1182
226	345	1177
227	346	1174
228	347	1170
229	348	1167
230	349	1162
231	349	1158
232	350	1153
233	351	1149
234	351	1144
235	352	1139
236	352	1135
237	353	1131
238	353	1127
239	354	1122
240	355	1118
241	355	1113
242	356	1109
243	356	1104
244	357	1100
245	357	1096
246	359	1096
247	360	1092
248	360	1088
249	361	1084
250	362	1080
251	362	1076
252	363	1072
253	363	1068
254	364	1064
255	364	1060
256	365	1056
257	366	1052
258	366	1048
259	367	1044
260	367	1041
261	368	1037
262	368	1033
263	369	1030
264	370	1027
265	371	1025
266	372	1021
267	372	1018
268	373	1014
269	373	1010
270	374	1007
271	374	1003
272	375	999
273	375	996
274	376	992
275	377	989
276	377	985
277	378	982
278	378	978
279	379	975
280	379	971
281	380	968
282	380	965
283	381	961
284	382	959
285	383	956
286	383	953
287	384	950
288	385	947
289	385	943
290	386	940
291	386	937
292	387	934
293	387	931
294	388	928
295	389	925
296	389	922
297	390	918
298	390	915
299	391	912
300	391	909
301	392	906
302	392	903
303	393	901
304	395	900
305	395	897
306	396	894
307	397	892
308	397	889
309	398	886
310	398	883
311	399	880
312	399	877
313	400	874
314	400	871
315	401	868
316	402	866
317	402	863
318	403	861
319	403	858
320	404	855
321	405	852
322	405	849
323	406	848
324	407	846
325	407	843
326	408	841
327	409	838
328	409	835
329	410	833
330	410	830
331	411	827
332	412	825
333	412	822
334	413	820
335	413	817
336	414	815
337	415	813
338	415	810
339	416	807
340	416	805
341	417	803
342	418	801
343	418	798
344	419	796
345	419	793
346	420	791
347	421	789
348	421	786
349	422	784
350	422	781
351	423	779
352	423	776
353	424	775
354	425	772
355	425	770
356	426	768
357	427	766
358	427	764
359	428	761
360	429	760
361	430	759
362	431	757
363	432	754
364	432	752
365	433	750
366	433	748
367	434	745
368	434	743
369	435	742
370	436	740
371	437	738
372	437	735
373	438	733
374	438	731
375	439	729
376	440	727
377	440	724
378	441	723
379	442	722
380	443	720
381	443	717
382	444	715
383	444	713
384	445	711
385	446	709
386	446	707
387	447	705
388	447	703
389	448	701
390	448	699
391	449	697
392	450	695
393	450	693
394	451	691
395	451	689
396	452	687
397	453	685
398	454	684
399	454	682
400	455	680
401	455	678
402	456	676
403	457	674
404	457	672
405	458	670
406	458	668
407	459	666
408	459	664
409	460	662
410	461	660
411	461	658
412	462	657
413	462	655
414	463	653
415	463	651
416	464	649
417	465	647
418	466	646
419	466	644
420	467	643
421	468	641
422	468	639
423	469	637
424	469	635
425	470	634
426	471	632
427	471	630
428	472	628
429	472	626
430	473	625
431	474	623
432	474	621
433	475	619
434	475	617
435	476	616
436	476	614
437	477	612
438	478	611
439	479	609
440	479	608
441	480	606
442	480	604
443	481	602
444	482	601
445	482	599
446	483	597
447	483	596
448	484	594
449	484	592
450	485	591
451	486	589
452	486	587
453	487	585
454	487	584
455	488	582
456	488	580
457	491	581
458	491	579
459	492	577
460	492	576
461	493	574
462	493	572
463	494	571
464	495	569
465	495	568
466	496	566
467	496	564
468	497	563
469	497	561
470	498	559
471	498	558
472	499	556
473	500	555
474	501	553
475	502	553
476	503	551
477	503	550
478	504	548
479	504	546
480	505	545
481	506	543
482	506	542
483	507	540
484	507	539
485	508	537
486	508	536
487	509	534
488	510	532
489	510	531
490	511	529
491	511	528
492	512	526
493	512	525
494	513	523
495	514	522
496	515	521
497	515	519
498	516	518
499	516	516
500	517	515
501	517	513
502	518	512
503	518	510
504	519	509
505	520	507
506	520	506
507	521	504
508	521	503
509	522	501
510	522	500
511	523	499
512	524	497
513	525	496
514	525	495
515	526	493
516	527	492
517	527	491
518	528	489
519	528	488
520	529	486
521	530	485
522	530	483
523	531	482
524	531	481
525	532	479
526	532	478
527	533	476
528	533	475
529	534	473
530	534	472
531	535	471
532	536	469
533	537	468
534	537	467
535	538	466
536	538	464
537	539	463
538	540	462
539	540	460
540	541	459
541	541	457
542	542	456
543	542	455
544	543	453
545	544	452
546	545	451
547	546	450
548	547	449
549	548	448
550	548	447
551	550	446
552	551	445
553	552	444
554	553	443
555	554	442
556	554	441
557	555	439
558	557	439
559	557	438
560	558	436
561	558	435
562	559	434
563	560	432
564	560	431
565	561	430
566	561	428
567	562	427
568	563	426
569	563	425
570	564	424
571	564	422
572	565	421
573	565	420
574	566	418
575	566	417
576	567	416
577	568	415
578	569	414
579	569	412
580	570	411
581	571	410
582	571	409
583	572	407
584	573	406
585	573	405
586	574	404
587	575	402
588	575	401
589	576	400
590	576	399
591	577	397
592	577	396
593	578	395
594	579	394
595	579	393
596	581	392
597	581	391
598	582	389
599	583	388
600	583	387
601	584	386
602	584	384
603	585	383
604	586	382
605	586	381
606	587	380
607	588	379
608	589	378
609	590	377
610	590	376
611	591	374
612	591	373
613	592	372
614	593	371
615	594	370
616	594	369
617	595	367
618	595	366
619	596	365
620	596	364
621	597	363
622	597	361
623	598	360
624	599	359
625	599	358
626	600	356
627	600	355
628	601	354
629	601	353
630	602	352
631	602	351
632	603	349
633	604	348
634	605	347
635	605	346
636	606	345
637	606	344
638	607	343
639	607	341
640	608	340
641	609	339
642	609	338
643	610	337
644	610	336
645	611	334
646	612	334
647	613	333
648	613	332
649	614	330
650	614	329
651	615	328
652	616	327
653	616	326
654	617	325
655	617	323
656	618	322
657	618	321
658	619	320
659	619	319
660	620	318
661	621	317
662	621	316
663	622	314
664	622	313
665	623	312
666	625	312
667	625	310
668	626	309
669	627	308
670	627	307
671	628	306
672	628	305
673	629	304
674	629	303
675	630	302
676	631	301
677	631	299
678	632	298
679	632	297
680	633	296
681	634	295
682	634	294
683	635	293
684	635	292
685	636	291
686	637	290
687	638	289
688	638	288
689	639	287
690	640	286
691	640	285
692	641	284
693	641	283
694	642	281
695	642	280
696	643	279
697	644	278
698	644	277
699	645	276
700	645	275
701	646	274
702	647	273
703	648	272
704	649	271
705	650	270
706	650	269
707	651	268
708	651	267
709	652	266
710	652	265
711	653	264
712	654	263
713	654	262
714	655	261
715	655	260
716	656	258
717	656	257
718	657	256
719	657	255
720	658	254
721	659	253
722	660	252
723	661	252
724	661	251
725	662	249
726	662	248
727	663	247
728	664	246
729	664	245
730	665	244
731	665	243
732	666	242
733	666	241
734	667	240
735	667	239
736	668	238
737	669	237
738	669	236
739	670	235
740	670	234
741	671	233
742	672	232
743	673	231
744	673	230
745	674	229
746	674	228
747	675	227
748	675	226
749	676	225
750	677	224
751	677	223
752	678	222
753	679	221
754	679	220
755	680	219
756	680	218
757	681	217
758	682	216
759	682	215
760	683	214
761	684	213
762	685	212
763	686	212
764	686	210
765	687	210
766	688	209
767	688	208
768	689	207
769	690	206
770	690	205
771	691	204
772	691	203
773	692	202
774	693	201
775	693	200
776	694	199
777	696	198
778	697	197
779	698	196
780	698	196
781	699	195
782	700	194
783	701	193
784	701	192
785	702	191
786	702	190
787	703	189
788	705	188
789	705	187
790	706	186
791	707	185
792	709	185
793	711	184
794	712	183
795	712	182
796	713	181
797	713	180
798	714	179
799	715	178
800	716	177
801	716	177
802	718	176
803	719	175
804	720	174
805	720	173
806	721	172
807	721	171
808	722	170
809	723	169
810	724	168
811	724	167
812	725	166
813	726	166
814	727	165
815	727	164
816	728	163
817	728	162
818	730	161
819	731	160
820	733	159
821	734	158
822	734	158
823	737	157
824	738	156
825	738	155
826	739	154
827	743	154
828	744	153
829	745	152
830	746	151
831	746	150
832	748	150
833	749	149
834	750	148
835	751	147
836	755	147
837	756	146
838	757	145
839	758	144
840	758	143
841	761	142
842	762	142
843	763	141
844	764	140
845	766	139
846	767	138
847	768	137
848	769	136
849	770	135
850	771	135
851	772	134
852	773	133
853	774	132
854	775	131
855	775	130
856	776	129
857	780	129
858	798	131
859	799	130
860	799	129
861	800	128
862	801	127
863	802	126
864	803	125
865	803	124
866	804	123
867	808	122
868	809	121
869	810	121
870	811	120
871	812	119
872	812	118
873	813	117
874	814	116
875	815	115
876	816	114
877	817	113
878	819	112
879	820	111
880	821	111
881	823	110
882	824	109
883	824	108
884	825	107
885	826	106
886	827	105
887	827	104
888	828	103
889	829	102
890	831	101
891	832	100
892	833	99
893	835	99
894	835	98
895	836	97
896	837	96
897	837	95
898	838	94
899	839	93
900	840	92
901	841	91
902	842	90
903	844	89
904	845	88
905	846	87
906	846	86
907	847	85
908	847	84
909	848	83
910	849	82
911	850	82
912	850	81
913	851	80
914	852	79
915	852	78
916	853	77
917	856	76
918	856	75
919	857	74
920	858	73
921	858	72
922	859	71
923	859	70
924	860	69
925	861	68
926	861	67
927	862	66
928	863	65
929	863	65
930	864	64
931	865	63
932	866	62
933	867	61
934	867	60
935	868	59
936	869	58
937	869	57
938	870	56
939	871	55
940	871	54
941	872	53
942	872	52
943	873	51
944	874	50
945	875	49
946	876	49
947	877	48
948	878	47
949	879	46
950	880	45
951	881	44
952	881	43
953	882	42
954	883	41
955	883	40
956	884	39
957	885	38
958	885	37
959	886	36
960	887	36
961	888	35
962	888	34
963	889	33
964	890	32
965	892	31
966	893	30
967	893	29
968	894	28
969	895	27
970	895	26
971	896	25
972	897	24
973	898	23
974	899	23
975	899	22
976	900	21
977	901	20
978	902	19
979	903	18
980	904	17
981	904	16
982	905	15
983	906	14
984	907	13
985	907	12
986	908	11
987	909	11
988	910	10
989	910	9
990	911	8
991	912	7
992	913	6
993	913	5
994	914	4
995	916	3
996	916	2
997	917	1
998	918	0
999	918	0
